"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:35:19.4108236 am","python.exe","16236","QueryBasicInformationFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\polls\test4.txt","SUCCESS","CreationTime: 5/8/2022 9:56:11 am, LastAccessTime: 5/8/2022 9:56:11 am, LastWriteTime: 5/8/2022 9:56:11 am, ChangeTime: 5/8/2022 9:56:11 am, FileAttributes: A"
"10:35:19.4108380 am","python.exe","16236","QueryFileInternalInformationFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\polls\test4.txt","SUCCESS","IndexNumber: 0x200000009c521"
"10:35:19.4108486 am","python.exe","16236","QueryStandardInformationFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\polls\test4.txt","SUCCESS","AllocationSize: 0, EndOfFile: 0, NumberOfLinks: 1, DeletePending: False, Directory: False"
"10:35:19.4108989 am","python.exe","16236","CreateFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\polls\~BROMIUM\test4.txt","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Non-Directory File, Complete If Oplocked, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:19.4109277 am","python.exe","16236","QueryInformationVolume","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\polls\test4.txt","BUFFER OVERFLOW","VolumeCreationTime: 21/6/2021 11:26:07 am, VolumeSerialNumber: D42C-6BC0, SupportsObjects: True, VolumeLabel: Win૚"
"10:35:19.4109383 am","python.exe","16236","QueryAllInformationFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\polls\test4.txt","BUFFER OVERFLOW","CreationTime: 5/8/2022 9:56:11 am, LastAccessTime: 5/8/2022 9:56:11 am, LastWriteTime: 5/8/2022 9:56:11 am, ChangeTime: 5/8/2022 9:56:11 am, FileAttributes: A, AllocationSize: 0, EndOfFile: 0, NumberOfLinks: 1, DeletePending: False, Directory: False, IndexNumber: 0x200000009c521, EaSize: 0, Access: Generic Read, Position: 0, Mode: Synchronous IO Non-Alert, AlignmentRequirement: Long"
"10:35:19.4109803 am","python.exe","16236","CloseFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\polls\test4.txt","SUCCESS",""
"10:35:19.4110718 am","python.exe","16236","CreateFile","C:\Users\User\csb.log","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"10:35:19.4111020 am","python.exe","16236","QueryBasicInformationFile","C:\Users\User\csb.log","SUCCESS","CreationTime: 5/8/2022 10:14:36 am, LastAccessTime: 5/8/2022 10:14:36 am, LastWriteTime: 5/8/2022 10:14:36 am, ChangeTime: 5/8/2022 10:14:36 am, FileAttributes: ANCI"
"10:35:19.4111166 am","python.exe","16236","QueryFileInternalInformationFile","C:\Users\User\csb.log","SUCCESS","IndexNumber: 0x40000000a0041"
"10:35:19.4111268 am","python.exe","16236","QueryStandardInformationFile","C:\Users\User\csb.log","SUCCESS","AllocationSize: 8, EndOfFile: 3, NumberOfLinks: 1, DeletePending: False, Directory: False"
"10:35:19.4111767 am","python.exe","16236","CreateFile","C:\Users\User\~BROMIUM\csb.log","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Non-Directory File, Complete If Oplocked, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:19.4112020 am","python.exe","16236","QueryInformationVolume","C:\Users\User\csb.log","BUFFER OVERFLOW","VolumeCreationTime: 21/6/2021 11:26:07 am, VolumeSerialNumber: D42C-6BC0, SupportsObjects: True, VolumeLabel: Win૚"
"10:35:19.4112118 am","python.exe","16236","QueryAllInformationFile","C:\Users\User\csb.log","BUFFER OVERFLOW","CreationTime: 5/8/2022 10:14:36 am, LastAccessTime: 5/8/2022 10:14:36 am, LastWriteTime: 5/8/2022 10:14:36 am, ChangeTime: 5/8/2022 10:14:36 am, FileAttributes: ANCI, AllocationSize: 8, EndOfFile: 3, NumberOfLinks: 1, DeletePending: False, Directory: False, IndexNumber: 0x40000000a0041, EaSize: 0, Access: Generic Read, Position: 0, Mode: Synchronous IO Non-Alert, AlignmentRequirement: Long"
"10:35:19.4114586 am","python.exe","16236","CloseFile","C:\Users\User\csb.log","SUCCESS",""
"10:35:19.4115330 am","python.exe","16236","QueryStandardInformationFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\polls\test3.txt","SUCCESS","AllocationSize: 168, EndOfFile: 162, NumberOfLinks: 1, DeletePending: False, Directory: False"
"10:35:19.4115496 am","python.exe","16236","WriteFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\polls\test3.txt","SUCCESS","Offset: 162, Length: 3, Priority: Normal"
"10:35:19.4116513 am","python.exe","16236","CloseFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\polls\test3.txt","SUCCESS",""
"10:35:19.4149563 am","python.exe","16236","CreateFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\inbound_logs_flask.log","SUCCESS","Desired Access: Generic Read/Write, Disposition: OpenIf, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: 0, OpenResult: Opened"
"10:35:19.4150356 am","python.exe","16236","QueryEAFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\inbound_logs_flask.log","SUCCESS",""
